Location,Client ,Process ,Scheduled Day,Client Contact,Frequency,TAT,Process AHT,Peer review AHT
Vernon Hills,AEP,Census Data Load,Daily,Helena Nzuve,Daily,11:30 AM CST,61,20
,AEP,InactiveDataFile,Friday,Helena Nzuve,Weekly,11:30 AM CST,90,30
,AEP,Financial Data Load,Two Files in a Month,Helena Nzuve,Bi- Weekly,11:30 AM CST,75,20
,AEP,AEP Total Rewards File Transfer,Wednesday,Helena Nzuve,Weekly,6:00 AM EST and 10:00 AM EST ,15,10
,ADP,Census Data Load,Monday,Denise Soll,Weekly,EOD,90,25
,AIG,PPSFT ,Monday,,,,90,25
,AIG,BERMUDa,Monday,,,,45,25
,AIG,Warnings,Tuesday After dataLoad,,,,150,60
,BJC,Bi-Weekly Census File,Bi - Weekly Thursday,Paula Kissel,Bi- Weekly,Thursday ASAP,180,30
,Kaiser,HCM Financial ,Wednesday,Joshua Reid,Daily,EOD,105,30
,Kaiser,FED Census ,Bi - Weekly Thursday ,Joshua Reid,Daily,EOD,105,30
,Kaiser,FED Financial,Bi -Weekly Friday,Joshua Reid,Daily,EOD,105,30
,Kaiser,MAPMG Census ,Thursday,Joshua Reid,Daily,EOD,105,30
,Kaiser,MAPMG Financial,Bi -Weekly Friday,Joshua Reid,Daily,EOD,105,30
,Kaiser,HPMG Census, Friday,Joshua Reid,Daily,EOD,105,30
,Kaiser,HPMG Financial,Bi -Weekly Monday,Joshua Reid,Daily,EOD,105,30
,Kaiser,TSPMG Census , Tuesday,Joshua Reid,Daily,EOD,105,30
,Kaiser,TSPMG Financial,Bi - Weekly Wednesday,Joshua Reid,Daily,EOD,105,30
,Kaiser,CPMG Census , Monday,Joshua Reid,Daily,EOD,105,30
,Kaiser,CPMG Financial,Bi - Weekly Thursday,Joshua Reid,Daily,EOD,105,30
,Kaiser,SCPMG Census, Wednesday,Joshua Reid,Daily,EOD,105,30
,Kaiser,SCPMG Financial,Bi - Weekly Thursday,Joshua Reid,Daily,EOD,105,30
,Edgewell,Weekly,5th and 20th of each month,Helena Nzuve,,12:30 PM CST,60,25
,Philips,Census File Load,Not required,Helena Nzuve,Weekly,EOD,80,20
,Hertz,Census Load,Thursday,Paula Kissel,Weekly,EOD,90,30
,Hertz,Financial Data Load,Thursday,Paula Kissel,Weekly,EOD,75,30
,TD Bank,Census & Financial Load,4th Business day of every month,Denise Soll,Monthly,EOD,75,30
,Hilton,Census File Processing,9th of Every month,Denise Soll,Monthly,EOD,50,15
,Hilton,Financial File Processing,9th of Every month,Denise Soll,Monthly,EOD,50,15
,Nissan,Nissan Ongoing File,9th of Every month,Helena Nzuve,Monthly,EOD,120,30
,Kinder Morgan,HRIS Data Load,Wednesday,Paula Kissel,Weekly,4:00 PM CST,150,45
