Client ,Process ,Scheduled Day,Client Contact,Frequency,TAT,Process AHT,Peer review AHT
Volvo,Overpayment Risk Reduction Report,20th of each month (or first business day after),Denise Soll,Monthly,,,
URS,AECOM/URS Billing Report,1st business day of each month,Denise Soll,Monthly,,,
TForce Freight,Suspension of Benefits,First business day of every month,Paula,Monthly,12:00 PM CST,15,12
TForce Freight,	Opt Into Email Global Audit Report ,"15th of each quarter (Jan-Apr-Jul-Oct), or the next business day after if it falls on a weekend",Denise Soll,Monthly ,EOD,15,12
TForce Freight,TForce Monthly BQT Report,"15th of every month, or the first business day prior or after the 15th, if it happens to fall on a weekend",Paula Kissel,Monthly,,,
TForce Freight,Term Audit Report,"15th of every month, or the first business day prior or after the 15th, if it happens to fall on a weekend",Paula Kissel,Monthly,,,
TD Bank,Overpayment Risk Reduction Report,10th of every Month,Paula/Denise,Monthly,EOD,15,12
TD Bank,	Opt Into Email Global Audit Report ,"15th of each quarter (Jan-Apr-Jul-Oct), or the next business day after if it falls on a weekend",Denise Soll,Bi -Weekly,EOD,15,12
SSCC,OverpaymentRiskReductionReport,20th of each month (or first business day after holiday),Denise Soll,,,,
Rock Tenn,1. Term Report,1st business day of every  month,Paula Kissel,Monthly,4:00 PM CST,15,12
Rock Tenn,2. TV NRD Report,1st business day of every  month,Paula Kissel,Monthly,4:00 PM CST,15,12
Rock Tenn,3. Hourly Disability Report,1st business day of every  month,Paula Kissel,Monthly,4:00 PM CST,15,12
Rock Tenn,4. Monthly Validator Report,1st business day of every  month,Paula Kissel,Monthly,4:00 PM CST,15,12
Region/AMSouth,Overpayment Risk Reduction Report,20th of each month (or first business day after),Paula Kissel,Monthly,,,
Philips,Population Counts Report,1st business day of every  month,Denise Soll,Monthly,EOD,15,12
Nissan,Monthly Data Validation Reports,15 of every Month,Paula Kissel,Monthly,EOD,15,12
Nissan,Future Changes Report,1st business day of every New quarter,Paula Kissel,Quarterly,EOD,15,12
Nissan,Monthly Billing Counts Report,1st business day of every  month,Paula Kissel,Monthly,EOD,15,12
