Date,Clients,Process,Scheduled Day,TAT,Process AHT,Peer review AHT,Source
2026-03-15,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-03-15,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-03-16,TForce Freight,TForce Monthly BQT Report,"15th of every month, or the first business day prior or after the 15th, if it happens to fall on a weekend",,,,REPORT.CSV
2026-03-16,BBU,Reports,"Monday, Wednesday and Friday",EOD,15.0,12.0,REPORT.CSV
2026-03-16,TForce Freight,Term Audit Report,"15th of every month, or the first business day prior or after the 15th, if it happens to fall on a weekend",,,,REPORT.CSV
2026-03-16,Kinder Morgan,Weekly Superceding Calc Indicator/Update Report,Monday,8:00 am CST,15.0,12.0,REPORT.CSV
2026-03-16,Edgewell,Edgewell Over Pay Parameter  Report,Every Monday,,,,REPORT.CSV
2026-03-16,Kinder Morgan,2. Weekly Address Change Report ,Monday,12:00 PM CST,15.0,12.0,REPORT.CSV
2026-03-16,Nissan,Monthly Data Validation Reports,15 of every Month,EOD,15.0,12.0,REPORT.CSV
2026-03-16,CBS,Steps For ERD_NRD Updates,"15th of every month, or the prior business day or first business day after the 15th, if that falls over a weekend",,,,DATALOAD.CSV
2026-03-16,All Client DB Client,LumpSum Data,Monday,EOD,15.0,12.0,REPORT.CSV
2026-03-16,CAMPBELL,Census Data Load,Monday & Thursday,,40.0,20.0,DATALOAD.CSV
2026-03-16,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-03-16,Lyondell,U3,As per Calender,EOD,85.0,30.0,DATALOAD.CSV
2026-03-16,ConAgra,Census File Processing,Monday,EOD,90.0,25.0,DATALOAD.CSV
2026-03-16,AIG,BERMUDa,Monday,,45.0,25.0,DATALOAD.CSV
2026-03-16,BCOM3,Data Load,Monday,EOD,55.0,30.0,DATALOAD.CSV
2026-03-16,Kaiser,CPMG Census , Monday,EOD,105.0,30.0,DATALOAD.CSV
2026-03-16,Kaiser,HPMG Financial,Bi -Weekly Monday,EOD,105.0,30.0,DATALOAD.CSV
2026-03-16,ADP,Census Data Load,Monday,EOD,90.0,25.0,DATALOAD.CSV
2026-03-16,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-03-16,ConAgra,Financial File Processing,Monday,EOD,90.0,25.0,DATALOAD.CSV
2026-03-16,Lyondell,Census Data Load,Monday,EOD,90.0,30.0,DATALOAD.CSV
2026-03-16,AIG,PPSFT ,Monday,,90.0,25.0,DATALOAD.CSV
2026-04-01,Edgewell,3. The Monthly Validator Report,1st business day of every  month,4:30 PM CST,15.0,12.0,REPORT.CSV
2026-04-01,Regions,Bi-Weekly Data load,Bi-weekly Wednesday,EOD,120.0,45.0,DATALOAD.CSV
